Inspection ID,Violation ID1,Violation ID2,Violation ID3,Violation ID4,Violation ID5,Violation ID6,Violation ID7,Violation ID8,Violation ID9,Violation ID10,Violation ID11,Violation ID11,Violation ID12,Violation ID13,Violation ID14,Violation ID15,Violation ID16,Violation ID17,Violation ID18
1970968,,,,,,,,,,,,,,,,,,,
1970956,18,18,,,,,,,,,,,,,,,,,
1970947,,,,,,,,,,,,,,,,,,,
1970940,,,,,,,,,,,,,,,,,,,
1970935,34,34,33,,,,,,,,,,,,,,,,
1970933,37,37,36,,,,,,,,,,,,,,,,
1970930,38,38,,,,,,,,,,,,,,,,,
1970838,,,,,,,,,,,,,,,,,,,
1970925,34,34,35,32,38,,,,,,,,,,,,,,
1970923,33,33,,,,,,,,,,,,,,,,,
1970920,,,,,,,,,,,,,,,,,,,
1970918,,,,,,,,,,,,,,,,,,,
1970910,,,,,,,,,,,,,,,,,,,
1970908,,,,,,,,,,,,,,,,,,,
1970892,34,34,38,,,,,,,,,,,,,,,,
1970901,70,70,33,,,,,,,,,,,,,,,,
1970885,,,,,,,,,,,,,,,,,,,
1970881,34,34,35,,,,,,,,,,,,,,,,
1970883,40,40,36,34,32,,,,,,,,,,,,,,
1970878,35,35,,,,,,,,,,,,,,,,,
1970888,40,40,,,,,,,,,,,,,,,,,
1970660,,,,,,,,,,,,,,,,,,,
1970859,16,16,22,37,38,,,,,,,,,,,,,,
1970858,,,,,,,,,,,,,,,,,,,
1970839,32,32,,,,,,,,,,,,,,,,,
1966870,,,,,,,,,,,,,,,,,,,
1970857,18,18,32,,,,,,,,,,,,,,,,
1970853,,,,,,,,,,,,,,,,,,,
1970849,32,32,38,41,,,,,,,,,,,,,,,
1955339,,,,,,,,,,,,,,,,,,,
1970850,29,29,32,33,34,35,18,,,,,,,,,,,,
1970842,34,34,,,,,,,,,,,,,,,,,
1970841,32,32,33,34,35,36,38,43,,,,,,,,,,,
1970840,31,31,34,41,,,,,,,,,,,,,,,
1970832,41,41,,,,,,,,,,,,,,,,,
1970970,,,,,,,,,,,,,,,,,,,
1970824,38,38,36,35,33,30,14,,,,,,,,,,,,
1970821,35,35,36,38,33,,,,,,,,,,,,,,
1970815,30,30,32,35,33,,,,,,,,,,,,,,
1937437,,,,,,,,,,,,,,,,,,,
1970819,29,29,32,33,34,33,35,36,,,,,,,,,,,
1970808,,,,,,,,,,,,,,,,,,,
1970799,18,18,29,,,,,,,,,,,,,,,,
1970801,33,33,34,,,,,,,,,,,,,,,,
1970796,,,,,,,,,,,,,,,,,,,
1970791,34,34,35,,,,,,,,,,,,,,,,
1970785,29,29,33,34,35,,,,,,,,,,,,,,
1970772,34,34,41,,,,,,,,,,,,,,,,
1970771,16,16,,,,,,,,,,,,,,,,,
1970760,,,,,,,,,,,,,,,,,,,
1955335,,,,,,,,,,,,,,,,,,,
1951307,29,29,33,34,35,38,,,,,,,,,,,,,
1970755,35,35,41,43,,,,,,,,,,,,,,,
1970667,18,18,38,,,,,,,,,,,,,,,,
1955334,19,19,38,,,,,,,,,,,,,,,,
1970747,17,17,3,,,,,,,,,,,,,,,,
1970741,33,33,,,,,,,,,,,,,,,,,
1970737,31,31,33,,,,,,,,,,,,,,,,
1970728,,,,,,,,,,,,,,,,,,,
1970695,35,35,41,43,36,,,,,,,,,,,,,,
1970688,34,34,33,31,,,,,,,,,,,,,,,
1970681,34,34,32,,,,,,,,,,,,,,,,
1970663,33,33,,,,,,,,,,,,,,,,,
1970678,16,16,33,34,36,41,,,,,,,,,,,,,
1970677,38,38,32,21,,,,,,,,,,,,,,,
1970676,,,,,,,,,,,,,,,,,,,
1970680,35,35,,,,,,,,,,,,,,,,,
1970675,3,3,18,35,34,,,,,,,,,,,,,,
1970671,29,29,33,35,41,35,34,33,32,,,,,,,,,,
1970672,,,,,,,,,,,,,,,,,,,
1970673,38,38,41,,,,,,,,,,,,,,,,
1970665,34,34,45,,,,,,,,,,,,,,,,
1970666,33,33,32,35,36,45,41,43,21,,,,,,,,,,
1970659,29,29,,,,,,,,,,,,,,,,,
1970656,,,,,,,,,,,,,,,,,,,
1951304,,,,,,,,,,,,,,,,,,,
1970653,12,12,,,,,,,,,,,,,,,,,
1970647,41,41,,,,,,,,,,,,,,,,,
1970614,29,29,,,,,,,,,,,,,,,,,
1970640,34,34,,,,,,,,,,,,,,,,,
1970635,,,,,,,,,,,,,,,,,,,
1970637,,,,,,,,,,,,,,,,,,,
1970629,29,29,32,33,43,35,,,,,,,,,,,,,
1970621,,,,,,,,,,,,,,,,,,,
1970617,,,,,,,,,,,,,,,,,,,
1970613,38,38,34,32,,,,,,,,,,,,,,,
1970611,33,33,34,35,36,41,,,,,,,,,,,,,
1970610,21,21,,,,,,,,,,,,,,,,,
1970609,33,33,41,40,45,28,,,,,,,,,,,,,
1970608,35,35,,,,,,,,,,,,,,,,,
1970604,,,,,,,,,,,,,,,,,,,
1951302,32,32,33,34,35,36,41,,,,,,,,,,,,
1970595,18,18,14,,,,,,,,,,,,,,,,
1970466,45,45,,,,,,,,,,,,,,,,,
1955327,18,18,34,35,36,38,19,,,,,,,,,,,,
1970585,32,32,41,33,7,,,,,,,,,,,,,,
1970582,33,33,36,38,34,33,,,,,,,,,,,,,
1970579,41,41,35,,,,,,,,,,,,,,,,
1970568,34,34,41,45,,,,,,,,,,,,,,,
1970561,,,,,,,,,,,,,,,,,,,
1970558,29,29,,,,,,,,,,,,,,,,,
1966299,,,,,,,,,,,,,,,,,,,
1970556,16,16,18,38,,,,,,,,,,,,,,,
1970551,,,,,,,,,,,,,,,,,,,
1970548,,,,,,,,,,,,,,,,,,,
1970552,33,33,34,32,33,,,,,,,,,,,,,,
1970535,29,29,,,,,,,,,,,,,,,,,
1970538,,,,,,,,,,,,,,,,,,,
1955323,27,27,38,36,37,40,41,,,,,,,,,,,,
1970527,33,33,34,,,,,,,,,,,,,,,,
1970525,33,33,38,38,3,32,,,,,,,,,,,,,
1970523,30,30,,,,,,,,,,,,,,,,,
1970514,30,30,35,,,,,,,,,,,,,,,,
1965548,,,,,,,,,,,,,,,,,,,
1970520,38,38,32,,,,,,,,,,,,,,,,
1970512,,,,,,,,,,,,,,,,,,,
1970504,21,21,32,28,33,38,3,45,,,,,,,,,,,
1970503,33,33,34,35,38,40,41,,,,,,,,,,,,
1970500,35,35,,,,,,,,,,,,,,,,,
1970494,,,,,,,,,,,,,,,,,,,
1970490,,,,,,,,,,,,,,,,,,,
1970493,33,33,34,35,,,,,,,,,,,,,,,
1970484,,,,,,,,,,,,,,,,,,,
1970482,,,,,,,,,,,,,,,,,,,
1970481,,,,,,,,,,,,,,,,,,,
1746320,,,,,,,,,,,,,,,,,,,
1970477,32,32,33,35,,,,,,,,,,,,,,,
1970476,29,29,,,,,,,,,,,,,,,,,
1970475,32,32,33,34,35,36,33,,,,,,,,,,,,
1970479,,,,,,,,,,,,,,,,,,,
1970470,3,3,,,,,,,,,,,,,,,,,
1970460,34,34,,,,,,,,,,,,,,,,,
1970461,38,38,33,18,,,,,,,,,,,,,,,
1746319,30,30,,,,,,,,,,,,,,,,,
1970451,33,33,41,43,,,,,,,,,,,,,,,
1970447,,,,,,,,,,,,,,,,,,,
1970444,29,29,,,,,,,,,,,,,,,,,
1953719,,,,,,,,,,,,,,,,,,,
1970438,33,33,34,,,,,,,,,,,,,,,,
1970436,,,,,,,,,,,,,,,,,,,
1970429,32,32,,,,,,,,,,,,,,,,,
1970430,,,,,,,,,,,,,,,,,,,
1970424,38,38,43,32,42,,,,,,,,,,,,,,
1953634,,,,,,,,,,,,,,,,,,,
1951297,32,32,33,34,,,,,,,,,,,,,,,
1970418,,,,,,,,,,,,,,,,,,,
1970405,30,30,32,35,43,45,,,,,,,,,,,,,
1970400,,,,,,,,,,,,,,,,,,,
1970404,33,33,,,,,,,,,,,,,,,,,
1970391,,,,,,,,,,,,,,,,,,,
1970392,36,36,33,38,,,,,,,,,,,,,,,
1970389,36,36,42,,,,,,,,,,,,,,,,
1970388,,,,,,,,,,,,,,,,,,,
1970393,,,,,,,,,,,,,,,,,,,
1970383,,,,,,,,,,,,,,,,,,,
1970368,,,,,,,,,,,,,,,,,,,
1970381,18,18,30,,,,,,,,,,,,,,,,
1970382,,,,,,,,,,,,,,,,,,,
1970378,,,,,,,,,,,,,,,,,,,
1955320,,,,,,,,,,,,,,,,,,,
1970371,33,33,33,,,,,,,,,,,,,,,,
1970363,,,,,,,,,,,,,,,,,,,
1970364,29,29,,,,,,,,,,,,,,,,,
1970361,34,34,32,,,,,,,,,,,,,,,,
1955319,18,18,38,41,,,,,,,,,,,,,,,
1970362,3,3,29,,,,,,,,,,,,,,,,
1970355,,,,,,,,,,,,,,,,,,,
1970352,,,,,,,,,,,,,,,,,,,
1970338,3,3,11,21,33,34,38,,,,,,,,,,,,
1966868,33,33,34,,,,,,,,,,,,,,,,
1970353,18,18,33,34,35,38,41,,,,,,,,,,,,
1970349,,,,,,,,,,,,,,,,,,,
1970345,,,,,,,,,,,,,,,,,,,
1970346,,,,,,,,,,,,,,,,,,,
1970350,,,,,,,,,,,,,,,,,,,
1970342,35,35,32,,,,,,,,,,,,,,,,
1970343,16,16,10,22,37,,,,,,,,,,,,,,
1970335,30,30,33,36,38,,,,,,,,,,,,,,
1970331,,,,,,,,,,,,,,,,,,,
1970326,35,35,,,,,,,,,,,,,,,,,
1970327,33,33,29,,,,,,,,,,,,,,,,
1951294,29,29,33,34,,,,,,,,,,,,,,,
1970420,,,,,,,,,,,,,,,,,,,
1970321,34,34,41,,,,,,,,,,,,,,,,
1970316,33,33,34,35,40,38,41,,,,,,,,,,,,
1970317,19,19,29,30,35,36,,,,,,,,,,,,,
1970314,36,36,35,38,,,,,,,,,,,,,,,
1970301,33,33,35,45,,,,,,,,,,,,,,,
1965315,3,3,18,21,31,32,33,34,35,36,,,,,,,,,
1970308,32,32,,,,,,,,,,,,,,,,,
1955317,,,,,,,,,,,,,,,,,,,
1970303,11,11,21,45,,,,,,,,,,,,,,,
1970298,33,33,35,40,32,,,,,,,,,,,,,,
1970299,21,21,,,,,,,,,,,,,,,,,
1970295,,,,,,,,,,,,,,,,,,,
1970290,,,,,,,,,,,,,,,,,,,
1970277,,,,,,,,,,,,,,,,,,,
1970274,,,,,,,,,,,,,,,,,,,
1970273,38,38,41,,,,,,,,,,,,,,,,
1966846,33,33,,,,,,,,,,,,,,,,,
1970272,34,34,35,38,,,,,,,,,,,,,,,
1970265,,,,,,,,,,,,,,,,,,,
1970257,33,33,41,35,,,,,,,,,,,,,,,
1970260,,,,,,,,,,,,,,,,,,,
1970306,,,,,,,,,,,,,,,,,,,
1970249,,,,,,,,,,,,,,,,,,,
1970247,34,34,41,,,,,,,,,,,,,,,,
1955316,,,,,,,,,,,,,,,,,,,
